id,trial,cond,round,arm,out
1,1,ran,1,1,13.927462234
1,2,ran,1,2,36.7688570508
1,3,ran,1,1,14.2022179045
1,4,ran,1,1,14.255711791
1,5,ran,1,1,14.0630012349
1,6,ran,1,1,13.7662251776
1,7,ran,1,1,14.0950976416
1,8,ran,1,1,13.9059322374
1,9,ran,1,1,13.7876455405
1,10,ran,1,1,14.0791620504
1,1,pos,2,1,7.9614376644
1,2,pos,2,1,8.0581019194
1,3,pos,2,1,7.8981838872
1,4,pos,2,1,7.6801851393
1,5,pos,2,1,7.8750440099
1,6,pos,2,1,7.8730616431
1,7,pos,2,1,7.9118344028
1,8,pos,2,1,8.134691905
1,9,pos,2,1,7.3146307967
1,10,pos,2,1,7.5832954876
1,1,neg,3,1,45.5086514616
1,2,neg,3,1,45.4708060494
1,3,neg,3,1,45.9992623342
1,4,neg,3,1,45.2562607277
1,5,neg,3,1,45.4858045741
1,6,neg,3,1,45.5714527483
1,7,neg,3,1,45.6341629546
1,8,neg,3,1,45.0394158823
1,9,neg,3,1,45.4305272183
1,10,neg,3,1,45.5876540303
1,1,ran,4,1,11.3846751956
1,2,ran,4,1,11.5363886375
1,3,ran,4,1,11.7231131775
1,4,ran,4,1,11.6522950289
1,5,ran,4,1,11.526071202
1,6,ran,4,1,11.8137491734
1,7,ran,4,1,11.3114379632
1,8,ran,4,1,11.9434174388
1,9,ran,4,1,11.2375196571
1,10,ran,4,1,11.7253908566
1,1,pos,5,1,6.3035553498
1,2,pos,5,1,6.1091934289
1,3,pos,5,1,5.8593245302
1,4,pos,5,1,6.7472106803
1,5,pos,5,1,5.8960908181
1,6,pos,5,1,6.4056392625
1,7,pos,5,1,6.2178725578
1,8,pos,5,1,6.0009585684
1,9,pos,5,1,6.5478514159
1,10,pos,5,1,6.1982281156
1,1,pos,6,1,7.6893330342
1,2,pos,6,1,7.3522351643
1,3,pos,6,1,7.5121866021
1,4,pos,6,1,7.7384186564
1,5,pos,6,1,6.8107475324
1,6,pos,6,4,24.8575884026
1,7,pos,6,2,13.8675683188
1,8,pos,6,1,7.8646759927
1,9,pos,6,4,24.9148267139
1,10,pos,6,2,13.7239940234
1,1,pos,7,1,4.8637779497
1,2,pos,7,4,21.4211685718
1,3,pos,7,2,9.9283331067
1,4,pos,7,1,4.3283739798
1,5,pos,7,1,4.2486815414
1,6,pos,7,2,9.7358045234
1,7,pos,7,3,15.5522984698
1,8,pos,7,4,21.1157043351
